balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
PJM,2025-04-27,81697.0,67671.0,3127.0,1537.6525581199264,24,14026.0,0.16666666666666666,-1.5542742117632757,-1.9139929197554477,-0.741141342586066,-4.209408474104789,0.02354949117044197
PJM,2025-04-28,90740.0,69371.0,5797.0,2165.29089654639,24,21369.0,0.125,-1.0426377696452158,0.04036837428648212,-1.059497300295763,-2.0617666956544967,0.23551001028248045
PJM,2025-04-29,94869.0,71253.0,5432.0,2446.7316605710116,24,23616.0,0.25,-0.8090264825164456,-0.22680086628479293,-0.10442942716667182,-1.1402567759679105,0.32645800864215313
PJM,2025-04-30,96149.0,71789.0,5693.0,2561.401059867969,24,24360.0,0.25,-0.7366064177247706,-0.03575656001327844,-0.10442942716667182,-0.8767924049047209,0.35246050375955423
PJM,2025-05-01,97333.0,70990.0,6095.0,2694.76669118637,24,26343.0,0.2916666666666667,-0.6696178577924713,0.25849558987618065,0.21392653054302538,-0.19719573737326526,0.41953298478603224
PJM,2025-05-02,99556.0,73387.0,5887.0,2618.69232737158,24,26169.0,0.3333333333333333,-0.5438445733925545,0.10624572127665953,0.5322824882527222,0.09468363613682718,0.4483398855215628
PJM,2025-05-03,96422.0,71571.0,5270.0,2453.9942950218933,24,24851.0,0.125,-0.7211605757809212,-0.34538009086711224,-1.059497300295763,-2.1260379669437963,0.22916678667639995
PJM,2025-05-04,88855.0,71099.0,4021.0,1754.7267588397929,24,17756.0,0.16666666666666666,-1.1492876306860809,-1.259611272986352,-0.741141342586066,-3.1500402462584987,0.12810335194843814
PJM,2025-05-05,90064.0,71724.0,5257.0,2064.618138535796,24,18340.0,0.5,-1.0808846163633192,-0.35489570765458234,1.8057063190915106,0.3699259950736089,0.4755048037436137
PJM,2025-05-06,89589.0,72415.0,5351.0,2178.6360245658825,24,17174.0,0.5416666666666666,-1.107759249782105,-0.2860904785759526,2.124062276801207,0.7302125484431496,0.5110631196823174
PJM,2025-05-07,91262.0,71070.0,5008.0,2169.21367573932,24,20192.0,0.3333333333333333,-1.013103961972361,-0.5371563676607398,0.5322824882527222,-1.0179778413803786,0.33852627193992824
PJM,2025-05-08,93552.0,71761.0,5580.0,2298.656790751213,24,21791.0,0.4166666666666667,-0.883539939806005,-0.11846922901205674,1.1689944036721165,0.1669852348540548,0.45547565860556016
PJM,2025-05-09,92036.0,73090.0,4989.0,2121.320902071447,24,18946.0,0.125,-0.969312454043645,-0.5510638075808884,-1.059497300295763,-2.579873561920296,0.18437569103467105
PJM,2025-05-10,83283.0,67424.0,4190.0,1751.7030093514754,24,15859.0,0.20833333333333334,-1.464541225232341,-1.1359082547492412,-0.4227853848763688,-3.023234864857951,0.1406183508358479
PJM,2025-05-11,86599.0,66165.0,4062.0,1854.5426830908468,24,20434.0,0.125,-1.276927994881408,-1.2296004815797157,-1.059497300295763,-3.566025776756887,0.08704785103936236
PJM,2025-05-12,96026.0,69429.0,5165.0,2326.2602938429195,24,26597.0,0.20833333333333334,-0.7435655333258456,-0.42223699568898587,-0.4227853848763688,-1.5885879138912002,0.28221017286160566
PJM,2025-05-13,95004.0,73729.0,5208.0,2432.480108130234,24,21275.0,0.5,-0.8013884288079487,-0.39076226323812335,1.8057063190915106,0.6135556270454385,0.49954971839464385
